a			ʌ
souder			sawˈdɜɹ
souders		sawˈdɜɹz
souers			sawˈɜɹz
souffle		suflejˈ
sought			sɔˈt
souk			suˈk
soukup			sawˈkʌp
soul			sowˈl
soule			sawˈl
soules			suˈlz
soulful		sowˈlfʌl
soulier		suˈliɜɹ
souljah		suˈldʒʌ
soulless		sowˈlLʌs
soulliere		suˈliɛɹ
souls			sowˈlz
sound			sawˈnd
sound's		sawˈndz
soundbite		sawˈndbajˌt
soundbites		sawˈndbajˌts
sounded		sawˈndʌd
sounded(1)		sawˈndɪd
sounder		sawˈndɜɹ
soundest		sawˈndʌst
sounding		sawˈndɪŋ
soundings		sawˈndɪŋz
soundly		sawˈndli
soundness		sawˈndnʌs
sounds			sawˈndz
sounds(1)		sawˈnz
soundscan		sawˈndskæˌn
soundtrack		sawˈndtɹæˌk
soundtrack(1)		sawˈntɹæˌk
soundtracks		sawˈndtɹæˌks
soundtracks(1)		sawˈntɹæˌks
soundview		sawˈndvjuˌ
soup			suˈp
soup's			suˈps
souped			suˈpt
soups			suˈps
soupy			suˈpi
sour			sawˈɜɹ
sour(1)		sawˈɹ
sourby			sawˈɹbi
source			sɔˈɹs
source's		sɔˈɹsɪz
sourcebook		sɔˈɹsbʊˌk
sources		sɔˈɹsʌz
sources'		sɔˈɹsʌz
sourcing		sɔˈɹsɪŋ
soured			sawˈɜɹd
souring		sawˈɜɹɪŋ
souris			suˈɹɪs
sourrouille		sɔɹuˈi
sours			sawˈɜɹz
sours(1)		sawˈɹz
sous			suˈz
sousa			suˈzʌ
sousa's		suˈzʌz
sousaphone		suˈzʌfowˌn
sousley		sawˈsli
soutar			sutɑˈɹ
souter			suˈtɜɹ
souter(1)		sawˈtɜɹ
south			sawˈθ
south's		sawˈθs
southall		sawˈθʌl
southam		sawˈθʌm
southampton		sawθhæˈmptʌn
southard		sawˈθɜɹd
southbound		sawˈθbawˌnd
southdown		sawˈθdawˌn
southdown's		sawˈθdawˌnz
southeast		sawˌθiˈst
southeast's		sawˌθiˈsts
southeastern		sawˌθiˈstɜɹn
southeastern's		sawˌθiˈstɜɹnz
souther		sʌˈðɜɹ
southerland		sʌˈðɜɹlʌnd
southerly		sʌˈðɜɹli
southern		sʌˈðɜɹn
southern's		sʌˈðɜɹnz
southerner		sʌˈðɜɹnɜɹ
southerners		sʌˈðɜɹnɜɹz
southernmost		sʌˈðɜɹnmowˌst
southernnet		sʌˈðɜɹnɛt
southernnet's		sʌˈðɜɹnɛts
southers		sʌˈðɜɹz
southfield		sawˈθfiˌld
southgate		sawˈθgejˌt
southin		sawˈθɪˌn
southland		sawˈθlæˌnd
southland's		sawˈθlæˌndz
southlife		sawˈθlajˌf
southmark		sawˈθmɑˌɹk
southmark's		sawˈθmɑˌɹks
southold		sawˈθowˌld
southport		sawˈθpɔˌɹt
souths			sawˈθs
southside		sawˈθsajˌd
southstate		sawˈθstejˌt
southwall		sawˈθwɔˌl
southward		sawˈθwɜɹd
southway		sawˈθwejˌ
southwell		sawˈθwɛˌl
southwest		sawˌθwɛˈst
southwest's		sawˌθwɛˈsts
southwestern		sawˌθwɛˈstɜɹn
southwick		sawˈθwɪk
southwood		sawˈθwʊˌd
southworth		sawˈθwɜɹθ
souto			suˈtow
souvenir		suˌvʌnɪˈɹ
souvenirs		suˌvʌnɪˈɹz
souveroff		suˈvɜɹɔf
souza			suˈzʌ
souzas			suˈzʌz
sova			sowˈvʌ
sovereign		sɑˈvɹʌn
sovereigns		sɑˈvɹʌnz
sovereignty		sɑˈvɹʌnti
sovetskaya		sowˌvɛtskajˈʌ
sovexportfilm		sowˌvɛˌkspɔɹtfɪˈlm
sovey			sowˈvi
soviet			sowˈviʌt
soviet(1)		sowˈviɛˌt
soviet's		sowˈviɛˌts
soviet-union		sowˈviɛˌtjuˈnjʌn
sovietologist		sowˌviʌtɑˈlʌdʒɪst
sovietologists		sowˌviʌtɑˈlʌdʒɪsts
soviets		sowˈviɛˌts
soviets'		sowˈviɛˌts
sovine			sɑˈvajn
sovran			sɑˈvɹʌn
sovran's		sɑˈvɹʌnz
sovrans		sɑˈvɹʌnz
sovyetsky		sowvjɛˈtski
sow			sawˈ
sow(1)			sowˈ
sowa			sowˈʌ
soward			sowˈɜɹd
sowards		sowˈɜɹdz
sowash			sowˈʌʃ
sowata			sowˌɑˈtʌ
sowata's		sowˌɑˈtʌz
sowden			sowˈdʌn
sowder			sowˈdɜɹ
sowders		sowˈdɜɹz
sowed			sawˈd
sowed(1)		sowˈd
sowell			sɑˈwɛl
sower			sowˈɜɹ
sowers			sowˈɜɹz
soweto			sowejˈtow
sowing			sowˈɪŋ
sowinski		sowɪˈnski
sowle			sowˈl
sowles			sowˈlz
sown			sowˈn
sows			sowˈz
sox			sɑˈks
sox's			sɑˈksɪz
soy			sɔjˈ
soya			sɔjˈʌ
soyars			sɔjˈɜɹz
soybean		sɔjˈbiˌn
soybeans		sɔjˈbiˌnz
soyka			sɔjˈkʌ
soysauce		sɔjˈsɔˌs
soyuz			sɔjˈʌz
soyuz(1)		sɔjˈuˌz
soyuz's		sɔjˈʌzɪz
soyuz's(1)		sɔjˈuˌzɪz
soza			sowˈzʌ
sozio			sowˈziow
spa			spɑˈ
space			spejˈs
spaceball		spejˈsbɔˌl
spaceballs		spejˈsbɔˌlz
spaceband		spejˈsbæˌnd
spacebands		spejˈsbæˌndz
spacecraft		spejˈskɹæˌft
spacecraft's		spejˈskɹæˌfts
spaced			spejˈst
spacehab		spejˈshæˌb
spacek			spɑˈtʃɛk
spacek(1)		spɑˈsɛk
spacelink		spejˈslɪˌŋk
spacenet		spejˈsnɛˌt
spaceport		spejˈspɔˌɹt
spacer			spejˈsɜɹ
spacers		spejˈsɜɹz
spaces			spejˈsʌz
spaces(1)		spejˈsɪz
spaceship		spejˈsʃɪˌp
spaceships		spejˈsʃɪˌps
spacesuit		spejˈsuˌt
spacesuits		spejˈsuˌts
spacewalk		spejˈswɑˌk
spacewalking		spejˈswɑˌkɪŋ
spacewalks		spejˈswɑˌks
spacey			spejˈsi
spacial		spejˈʃʌl
spacing		spejˈsɪŋ
spacious		spejˈʃʌs
spack			spæˈk
spackle		spæˈkʌl
spackman		spæˈkmʌn
spada			spɑˈdʌ
spadaccini		spɑdɑtʃiˈni
spadafora		spɑdɑfɔˈɹʌ
spadafore		spɑdɔˈfɔɹ
spadaro		spɑdɑˈɹow
spade			spejˈd
spader			spejˈdɜɹ
spades			spejˈdz
spadework		spejˈdwɜɹˌk
spadoni		spɑdowˈni
spady			spejˈdi
spaeth			spiˈθ
spafford		spæˈfɜɹd
spaghetti		spʌgɛˈti
spagna			spæˈgnʌ
spagnola		spɑgnowˈlʌ
spagnoli		spɑgnowˈli
spagnolo		spɑgnowˈlow
spagnuolo		spɑgnjuowˈlow
spago			spejˈgow
spahn			spɑˈn
spahr			spɑˈɹ
spaid			spejˈd
spain			spejˈn
spain's		spejˈnz
spainhour		spajˈnawɹ
spainhower		spajˈnhowɜɹ
spak			spæˈk
spake			spejˈk
spalding		spɔˈldɪŋ
spalink		spejˈlɪˌŋk
spalink(1)		spɑˈlɪˌŋk
spall			spɔˈl
spalla			spæˈlʌ
spallone		spæˈlowˌn
spalvins		spæˈlvɪnz
spam			spæˈm
spampinato		spɑmpinɑˈtow
span			spæˈn
span's			spæˈnz
spanbauer		spæˈnbawɜɹ
spandex		spæˈndʌks
spang			spæˈŋ
spangenberg		spæˈŋʌnbɜɹg
spangle		spæˈŋgʌl
spangled		spæˈŋgʌld
spangler		spæˈŋgʌlɜɹ
spangler(1)		spæˈŋglɜɹ
spaniard		spæˈnjɜɹd
spaniards		spæˈnjɜɹdz
spaniel		spæˈnjʌl
spanier		spæˈnjɜɹ
spaniol		spæˈnjʌl
spanish		spæˈnɪʃ
spank			spæˈŋk
spanked		spæˈŋkt
spanking		spæˈŋkɪŋ
spanky			spæˈnki
spann			spæˈn
spanned		spæˈnd
spanner		spæˈnɜɹ
spanning		spæˈnɪŋ
spanninger		spæˈnɪŋɜɹ
spano			spɑˈnow
spanos			spejˈnowz
spans			spæˈnz
spanton		spæˈntʌn
spar			spɑˈɹ
sparacino		spɜɹʌtʃiˈnow
sparacio		spɜɹejˈsiow
sparaco		spɜɹæˈkow
sparano		spɜɹæˈnow
sparc			spɑˈɹk
spare			spɛˈɹ
spared			spɛˈɹd
spares			spɛˈɹz
sparger		spɑˈɹdʒɜɹ
spargo			spɑˈɹgow
spargur		spɑˈɹgɜɹ
sparing		spɛˈɹɪŋ
sparingly		spɛˈɹɪŋli
spark			spɑˈɹk
sparked		spɑˈɹkt
sparkes		spɑˈɹks
sparking		spɑˈɹkɪŋ
sparkle		spɑˈɹkʌl
sparkled		spɑˈɹkʌld
sparkles		spɑˈɹkʌlz
sparkling		spɑˈɹklɪŋ
sparkling(1)		spɑˈɹkʌlɪŋ
sparkly		spɑˈɹkli
sparkman		spɑˈɹkmʌn
sparks			spɑˈɹks
sparky			spɑˈɹki
sparlin		spɑˈɹlɪn
sparling		spɑˈɹlɪŋ
sparr			spæˈɹ
sparred		spɑˈɹd
sparring		spɑˈɹɪŋ
sparrow		spɛˈɹow
sparrows		spɛˈɹowz
sparse			spɑˈɹs
sparsely		spɑˈɹsli
sparta			spɑˈɹtʌ
spartacus		spɑˈɹtʌkʌs
spartan		spɑˈɹtʌn
spartanburg		spɑˈɹtʌnbɜɹg
spartech		spɑˈɹtɛˌk
spartz			spɑˈɹts
spas			spɑˈz
spasm			spæˈzʌm
spasmodic		spæzmɔˈdɪk
spasmodically		spæzmɔˈdɪkli
spasms			spæˈzʌmz
spasso			spæˈsow
spat			spæˈt
spatafora		spɑtɑfɔˈɹʌ
spatafore		spæˈtʌfɔˌɹ
spataro		spɑtɑˈɹow
spate			spejˈt
spates			spejˈts
spath			spæˈθ
spatial		spejˈʃʌl
spatola		spɑtowˈlʌ
spats			spæˈts
spatter		spæˈtɜɹ
spattered		spæˈtɜɹd
spattering		spæˈtɜɹɪŋ
spatters		spæˈtɜɹz
spatula		spæˈtʃʊlʌ
spatz			spæˈts
spaugh			spɔˈ
spaulding		spɔˈldɪŋ
spaur			spɔˈɹ
spavo			spɑˈvow
spaw			spɔˈ
spawn			spɑˈn
spawn(1)		spɔˈn
spawned		spɔˈnd
spawning		spɑˈnɪŋ
spawning(1)		spɔˈnɪŋ
spawns			spɑˈnz
spawns(1)		spɔˈnz
spayd			spejˈd
spayde			spejˈd
spaziani		spɑziɑˈni
speagle		spiˈgʌl
speak			spiˈk
speake			spiˈk
speaker		spiˈkɜɹ
speaker's		spiˈkɜɹz
speakers		spiˈkɜɹz
speakership		spiˈkɜɹʃɪˌp
speakes		spiˈks
speakes's		spiˈksɪz
speaking		spiˈkɪŋ
speakman		spiˈkmʌn
speaks			spiˈks
spear			spɪˈɹ
speare			spiˈɹ
spearhead		spɪˈɹhɛˌd
spearheaded		spɪˈɹhɛˌdɪd
spearheading		spɪˈɹhɛˌdɪŋ
spearing		spɪˈɹɪŋ
spearman		spɪˈɹmʌn
spears			spɪˈɹz
speas			spiˈz
spease			spiˈz
spec			spɛˈk
specht			spɛˈkt
special		spɛˈʃʌl
special's		spɛˈʃʌlz
speciale		spɛˈtʃʌli
specialist		spɛˈʃʌlʌst
specialist(1)		spɛˈʃʌlɪst
specialists		spɛˈʃʌlʌsts
specialists(1)		spɛˈʃʌlɪsts
specialists'		spɛˈʃʌlɪsts
specialities		spɛˈʃʌltiz
speciality		spɛˌʃiæˈlɪti
specialization		spɛˌʃʌlʌzejˈʃʌn
specialize		spɛˈʃʌlajˌz
specialized		spɛˈʃʌlajˌzd
specializes		spɛˈʃʌlajˌzʌz
specializes(1)		spɛˈʃʌlajˌzɪz
specializing		spɛˈʃʌlajˌzɪŋ
specially		spɛˈʃʌli
specially(1)		spɛˈʃli
specials		spɛˈʃʌlz
specialties		spɛˈʃʌltiz
specialty		spɛˈʃʌlti
specialty(1)		spejˈʃʌlti
species		spiˈʃiz
species'		spiˈʃiz
specific		spʌsɪˈfɪk
specific(1)		spɪsɪˈfɪk
specifically		spʌsɪˈfɪkli
specification		spɛˌsɪfɪkejˈʃʌn
specifications		spɛˌsʌfʌkejˈʃʌnz
specificity		spɛˌsʌfɪˈsʌti
specifics		spɪsɪˈfɪks
specified		spɛˈsʌfajˌd
specifies		spɛˈsʌfajˌz
specify		spɛˈsʌfajˌ
specifying		spɛˈsʌfajˌɪŋ
specimen		spɛˈsʌmʌn
specimens		spɛˈsʌmʌnz
specious		spiˈʃʌs
speck			spɛˈk
specker		spɛˈkɜɹ
speckle		spɛˈkʌl
speckled		spɛˈkʌld
speckman		spɛˈkmʌn
specks			spɛˈks
specs			spɛˈks
spectacle		spɛˈktʌkʌl
spectacles		spɛˈktʌkʌlz
spectacular		spɛktæˈkjʌlɜɹ
spectacularly		spɛktæˈkjʌlɜɹli
spectator		spɛˈktejtɜɹ
spectators		spɛˈktejtɜɹz
specter		spɛˈktɜɹ
specter's		spɛˈktɜɹz
specthrie		spɛˈkθɹi
spector		spɛˈktɜɹ
spectra		spɛˈktɹʌ
spectra's		spɛˈktɹʌz
spectradyne		spɛˈktɹʌdajˌn
spectramed		spɛˈktɹʌmd
spectramed(1)		spɛˈktɹʌmɛˌd
spectran		spɛˈktɹæˌn
spectravision		spɛˈktɹʌvɪˌʒʌn
spectre		spɛˈktɜɹ
spectrograph		spɛˈktɹʌgɹæˌf
spectrometer		spɛktɹɑˈmʌtɜɹ
spectrometry		spɛktɹɑˈmʌtɹi
spectroscopy		spɛktɹɑˈskʌpi
spectrum		spɛˈktɹʌm
spectrum's		spɛˈktɹʌmz
spectrums		spɛˈktɹʌmz
speculate		spɛˈkjʌlejˌt
speculated		spɛˈkjʌlejˌtʌd
speculated(1)		spɛˈkjʌlejˌtɪd
speculates		spɛˈkjʌlejˌts
speculating		spɛˈkjʌlejˌtɪŋ
speculation		spɛˌkjʌlejˈʃʌn
speculations		spɛˌkjʌlejˈʃʌnz
speculative		spɛˈkjʌlʌtɪv
speculator		spɛˈkjʌlejˌtɜɹ
speculators		spɛˈkjʌlejˌtɜɹz
speculators'		spɛˈkjʌlɜɹtejˌz
sped			spɛˈd
speece			spiˈs
speech			spiˈtʃ
speeches		spiˈtʃʌz
speeches(1)		spiˈtʃɪz
speechify		spiˈtʃʌfajˌ
speechifying		spiˈtʃʌfajˌɪŋ
speechless		spiˈtʃlʌs
speechwriter		spiˈtʃɹajˌtɜɹ
speechwriters		spiˈtʃɹajˌtɜɹz
speed			spiˈd
speedboat		spiˈdbowˌt
speedboats		spiˈdbowˌts
speeded		spiˈdɪd
speeder		spiˈdɜɹ
speeders		spiˈdɜɹz
speedier		spiˈdiɜɹ
speedily		spiˈdʌli
speeding		spiˈdɪŋ
speedometer		spidɑˈmʌtɜɹ
speedring		spiˈdɹɪˌŋ
speeds			spiˈdz
speedskate		spiˈdskejˌt
speedskating		spiˈdskejˌtɪŋ
speedup		spiˈdʌˌp
speedway		spiˈdwejˌ
speedy			spiˈdi
speegle		spiˈgʌl
speelman		spiˈlmʌn
speer			spɪˈɹ
spees			spiˈz
spegal			spiˈgʌl
spehar			spɛˈhɜɹ
speich			spajˈk
speicher		spajˈkɜɹ
speidel		spajˈdʌl
speier			spajˈɜɹ
speight		spejˈt
speights		spejˈts
speigner		spajˈgnɜɹ
speir			spɪˈɹ
speirs			spɪˈɹz
speiser		spajˈzɜɹ
spektr			spɛˈktɜɹ
spektr's		spɛˈktɜɹz
spell			spɛˈl
spellacy		spɛˈlʌsi
spellbinding		spɛˈlbajˌndɪŋ
spellbound		spɛˈlbawˌnd
spelled		spɛˈld
speller		spɛˈlɜɹ
spellers		spɛˈlɜɹz
spelling		spɛˈlɪŋ
spelling's		spɛˈlɪŋz
spellings		spɛˈlɪŋz
spellman		spɛˈlmʌn
spellman's		spɛˈlmʌnz
spellmeyer		spɛˈlmajɜɹ
spellmeyer's		spɛˈlmajɜɹz
spells			spɛˈlz
spelman		spɛˈlmʌn
speltz			spɛˈlts
spelunk		spʌlʌˈŋk
spelunked		spʌlʌˈŋkt
spelunker		spʌlʌˈŋkɜɹ
spelunkers		spʌlʌˈŋkɜɹz
spelunking		spʌlʌˈŋkɪŋ
spelunks		spʌlʌˈŋks
spence			spɛˈns
spencer		spɛˈnsɜɹ
spencer's		spɛˈnsɜɹz
spencers		spɛˈnsɜɹz
spend			spɛˈnd
spendable		spɛˈndʌbʌl
spender		spɛˈndɜɹ
spenders		spɛˈndɜɹz
spending		spɛˈndɪŋ
spendley		spɛˈndli
spendlove		spɛˈndlʌˌv
spends			spɛˈndz
spends(1)		spɛˈnz
spendthrift		spɛˈndθɹɪˌft
spengler		spɪˈŋʌlɜɹ
spengler(1)		spɪˈŋlɜɹ
spenner		spɛˈnɜɹ
speno			spɛˈnow
spens			spɛˈns
spenser		spɛˈnsɜɹ
spenser's		spɛˈnsɜɹz
spensers		spɛˈnsɜɹz
spent			spɛˈnt
spera			spɛˈɹʌ
speranza		spɜɹɑˈnzʌ
sperbeck		spɜɹˈbɛk
sperber		spɜɹˈbɜɹ
sperduto		spɜɹduˈtow
sperl			spɜɹˈl
sperle			spɜɹˈl
sperlich		spɜɹˈlɪk
sperling		spɜɹˈlɪŋ
sperm			spɜɹˈm
sperms			spɜɹˈmz
spero			spɛˈɹow
speros			spɛˈɹowz
sperrazza		spɜɹɑˈtsʌ
sperrfrist		spɛˈɹfɹɪst
sperry			spɛˈɹi
spessard		spɛˈsɜɹd
speth			spɛˈθ
spethmann		spɛˈθmʌn
spetsnaz		spɛˈtsnæz
spevak			spɛˈvʌk
spew			spjuˈ
spewed			spjuˈd
spewing		spjuˈɪŋ
spews			spjuˈz
spey			spejˈ
speyer			spejˈɜɹ
speziale		spɛziɑˈli
spezzano		spɛtsɑˈnow
sphar			sfɑˈɹ
sphere			sfɪˈɹ
spheres		sfɪˈɹz
spherical		sfɛˈɹɪkʌl
spheroid		sfɪˈɹɔjˌd
sphinx			sfɪˈŋks
spic			spɪˈk
spice			spajˈs
spiced			spajˈst
spiceland		spajˈslæˌnd
spicer			spajˈsɜɹ
spices			spajˈsʌz
spices(1)		spajˈsɪz
spicey			spajˈsi
spicher		spɪˈtʃɜɹ
spicing		spajˈsɪŋ
spickard		spɪˈkɜɹd
spickler		spɪˈklɜɹ
spicuzza		spikuˈtsʌ
spicy			spajˈsi
spidel			spɪˈdʌl
spidell		spɪˈdʌl
spider			spajˈdɜɹ
spiderman		spajˈdɜɹmæn
spiders		spajˈdɜɹz
spidle			spajˈdʌl
spie			spiˈ
spied			spajˈd
spiegel		spiˈgʌl
spiegelberg		spiˈgʌlbɜɹg
spiegelman		spiˈgʌlmʌn
spiegler		spiˈglɜɹ
spieker		spiˈkɜɹ
spiel			spiˈl
spielberg		spiˈlbɜɹg
spielberg's		spiˈlbɜɹgz
spielberger		spiˈlbɜɹgɜɹ
spieler		spiˈlɜɹ
spielman		spiˈlmʌn
spielmann		spiˈlmʌn
spielvogel		spiˈlvowˌgʌl
spier			spajˈɜɹ
spiering		spajˈɜɹɪŋ
spiers			spajˈɜɹz
spies			spajˈz
spiess			spiˈz
spieth			spajˈʌθ
spiewak		spiˈwæˌk
spiffing		spɪˈfɪŋ
spiffy			spɪˈfi
spight			spajˈt
spigner		spajˈgnɜɹ
spigot			spɪˈgʌt
spigots		spɪˈgʌts
spike			spajˈk
spiked			spajˈkt
spiker			spajˈkɜɹ
spikes			spajˈks
spiking		spajˈkɪŋ
spiky			spajˈki
spilde			spɪˈld
spilker		spɪˈlkɜɹ
spill			spɪˈl
spill's		spɪˈlz
spillage		spɪˈlɪdʒ
spillane		spɪˈlʌn
spilled		spɪˈld
spiller		spɪˈlɜɹ
spillers		spɪˈlɜɹz
spilling		spɪˈlɪŋ
spillman		spɪˈlmʌn
spillover		spɪˈlowˌvɜɹ
spills			spɪˈlz
spillway		spɪˈlwejˌ
spilman		spɪˈlmʌn
spilotro		spɪlɑˈtɹow
spilt			spɪˈlt
spin			spɪˈn
spina			spiˈnʌ
spinach		spɪˈnʌtʃ
spinal			spajˈnʌl
spinale		spinɑˈli
spindel		spɪˈndʌl
spindle		spɪˈndʌl
spindler		spɪˈndʌlɜɹ
spindler(1)		spɪˈndlɜɹ
spine			spajˈn
spineless		spajˈnlʌs
spinella		spɪnɛˈlʌ
spinelli		spɪnɛˈli
spinello		spɪnɛˈlow
spines			spajˈnz
spinfizz		spɪˈnfɪz
spinifex		spɪˈnɪfɛks
spink			spɪˈŋk
spinks			spɪˈŋks
spinks's		spɪˈŋksɪz
spinner		spɪˈnɜɹ
spinner's		spɪˈnɜɹz
spinners		spɪˈnɜɹz
spinney		spɪˈni
spinning		spɪˈnɪŋ
spino			spiˈnow
spinoff		spɪˈnɔˌf
spinoffs		spɪˈnɔˌfs
spinola		spinowˈlʌ
spinosa		spinowˈsʌ
spinoza		spɪnowˈzʌ
spins			spɪˈnz
spinster		spɪˈnstɜɹ
spiny			spajˈni
spira			spɪˈɹʌ
spiral			spajˈɹʌl
spiraled		spajˈɹʌld
spiraling		spajˈɹʌlɪŋ
spiralling		spajˈɹʌlɪŋ
spirals		spajˈɹʌlz
spire			spajˈɹ
spires			spajˈɹz
spirit			spɪˈɹʌt
spirit(1)		spɪˈɹɪt
spirit's		spɪˈɹɪts
spirited		spɪˈɹɪtʌd
spiritedness		spɪˈɹɪtɪdnʌs
spirito		spɪɹiˈtowˌ
spirits		spɪˈɹɪts
spirits(1)		spɪˈɹɪts
spiritual		spɪˈɹɪtʃʌwʌl
spiritual(1)		spɪˈɹɪtʃwʌl
spiritualism		spɪˈɹɪtʃʌwʌlɪzm
spiritualism(1)	spɪˈɹɪtʃwʌlɪˌzm
spiritualist		spɪˈɹɪtʃʌwʌlɪst
spiritualists		spɪˈɹɪtʃʌwʌlɪsts
spirituality		spɪˌɹɪtʃʌwæˈlʌti
spiritually		spɪˈɹɪtʃʌwʌli
spirituals		spɪˈɹɪtʃʌwʌlz
spirituals(1)		spɪˈɹɪtʃwʌlz
spiro			spɪˈɹow
spisak			spɪˈsʌk
spit			spɪˈt
spitale		spitɑˈli
spitball		spɪˈtbɔˌl
spitball's		spɪˈtbɔˌlz
spite			spajˈt
spiteful		spajˈtfʌl
spiteri		spitɛˈɹi
spitler		spɪˈtlɜɹ
spits			spɪˈts
spitting		spɪˈtɪŋ
spittle		spɪˈtʌl
spittler		spɪˈtlɜɹ
spitz			spɪˈts
spitzer		spɪˈtzɜɹ
spitzley		spɪˈtsli
spitznagel		spɪˈtsnejˌgʌl
spiva			spiˈvʌ
spivack		spɪˈvʌk
spivak			spɪˈvʌk
spivey			spɪˈvi
spiwak			spɪˈvʌk
spizzirri		spitsɪˈɹi
splain			splejˈn
splaine		splejˈn
splash			splæˈʃ
splashed		splæˈʃt
splashes		splæˈʃʌz
splashes(1)		splæˈʃɪz
splashing		splæˈʃɪŋ
splashy		splæˈʃi
splat			splæˈt
splatter		splæˈtɜɹ
splattered		splæˈtɜɹd
splawn			splɔˈn
spleen			spliˈn
spleisson		spejˈsʌn
splendid		splɛˈndʌd
splendid(1)		splɛˈndɪd
splendidly		splɛˈndʌdli
splendor		splɛˈndɜɹ
splenic		splɛˈnɪk
splenic(1)		spliˈnɪk
splice			splajˈs
spliced		splajˈst
splices		splajˈsɪz
splichal		splɪˈtʃʌl
splicing		splajˈsɪŋ
splint			splɪˈnt
splinter		splɪˈntɜɹ
splintered		splɪˈntɜɹd
splintering		splɪˈntɜɹɪŋ
splintery		splɪˈntɜɹi
splints		splɪˈnts
split			splɪˈt
splits			splɪˈts
splitt			splɪˈt
splitting		splɪˈtɪŋ
splurge		splɜɹˈdʒ
splurged		splɜɹˈdʒd
splurging		splɜɹˈdʒɪŋ
spoarer		spɔˈɹɜɹ
spock			spɑˈk
spoden			spowˈdʌn
spoelstra		spowˈlstɹʌ
spoerl			spɔˈɹl
spofford		spɑˈfɜɹd
spogli			spɑˈgli
spohn			spɑˈn
spohr			spɑˈɹ
spoil			spɔjˈl
spoilage		spɔjˈlʌdʒ
spoilage(1)		spɔjˈlɪdʒ
spoiled		spɔjˈld
spoiler		spɔjˈlɜɹ
spoilers		spɔjˈlɜɹz
spoiling		spɔjˈlɪŋ
spoils			spɔjˈlz
spokane		spowkæˈn
spokane(1)		spowkejˈn
spoke			spowˈk
spoken			spowˈkʌn
spokenly		spowˈkʌnli
spokes			spowˈks
spokesman		spowˈksmʌn
spokesmen		spowˈksmɪn
spokespeople		spowˈkspiˌpʌl
spokesperson		spowˈkspɜɹsʌn
spokespersons		spowˈkspɜɹsʌnz
spokeswoman		spowˈkswʊˌmʌn
spokeswomen		spowˈkswɪˌmʌn
spoleto		spowlejˈtow
spoletto		spowlejˈtow
spoletto's		spowlejˈtowz
spomer			spowˈmɜɹ
sponaugle		spɑˈnɔgʌl
spong			spɔˈŋ
sponge			spʌˈndʒ
sponged		spʌˈndʒd
spongeform		spʌˈndʒfɔɹm
sponges		spʌˈndʒʌz
spongy			spʌˈndʒi
sponsel		spɑˈnsʌl
sponseller		spɑˈnsʌlɜɹ
sponsler		spɑˈnsʌlɜɹ
sponsler(1)		spɑˈnslɜɹ
sponsor		spɑˈnsɜɹ
sponsor's		spɑˈnsɜɹz
sponsored		spɑˈnsɜɹd
sponsoring		spɑˈnsɜɹɪŋ
sponsors		spɑˈnsɜɹz
sponsorship		spɑˈnsɜɹʃɪˌp
sponsorships		spɑˈnsɜɹʃɪˌps
spontaneity		spɑˌntʌniˈʌti
spontaneous		spɑntejˈniʌs
spontaneously		spɑntejˈniʌsli
spoof			spuˈf
spoofed		spuˈft
spoofing		spuˈfɪŋ
spoofs			spuˈfs
spook			spuˈk
spooked		spuˈkt
spooks			spuˈks
spooky			spuˈki
spool			spuˈl
spoon			spuˈn
spoonemore		spuˈnmɔɹ
spooner		spuˈnɜɹ
spoonful		spuˈnfʊˌl
spoonfuls		spuˈnfʊˌlz
spoons			spuˈnz
spoor			spʊˈɹ
spoor's		spʊˈɹz
sporadic		spɜɹæˈdɪk
sporadically		spɜɹæˈdɪkli
sporck			spɔˈɹk
spore			spɔˈɹ
sporer			spɔˈɹɜɹ
spores			spɔˈɹz
sporkin		spɔˈɹkɪn
sporkin's		spɔˈɹkɪnz
sporleder		spɔˈɹlɪdɜɹ
sporn			spɔˈɹn
sporophyte		spɔˈɹfajˌt
sporophytes		spɔˈɹfajˌts
sporrer		spɔˈɜɹɹ
sport			spɔˈɹt
sport's		spɔˈɹts
sported		spɔˈɹtɪd
sportier		spɔˈɹtiɜɹ
sporting		spɔˈɹtɪŋ
sportingly		spɔˈɹtɪŋli
sports			spɔˈɹts
sports'		spɔˈɹts
sportsbar		spɔˈɹtsbɑˌɹ
sportscaster		spɔˈɹtskæˌstɜɹ
sportscasters		spɔˈɹtskæˌstɜɹz
sportschannel		spɔˈɹtstʃæˈnʌl
sportsclub		spɔˈɹtsklʌˌb
sportsman		spɔˈɹtsmʌn
sportsmanship		spɔˈɹtsmʌnʃɪˌp
sportsmen		spɔˈɹtsmɪn
sportster		spɔˈɹtstɜɹ
sportswear		spɔˈɹtswɛˌɹ
sportswriter		spɔˈɹtsɹajˌtɜɹ
sportswriters		spɔˈɹtsɹajˌtɜɹz
sporty			spɔˈɹti
sposato		spowsɑˈtow
sposito		spowsiˈtow
spot			spɑˈt
spotless		spɑˈtlʌs
spotlight		spɑˈtlajˌt
spotlighted		spɑˈtlajˌtɪd
spotlighting		spɑˈtlajˌtɪŋ
spotlights		spɑˈtlajˌts
spoto			spowˈtow
spots			spɑˈts
spotted		spɑˈtʌd
spotted(1)		spɑˈtɪd
spotter		spɑˈtɜɹ
spotters		spɑˈtɜɹz
spotting		spɑˈtɪŋ
spotts			spɑˈts
spotty			spɑˈti
